[Starting] Opening the serial port - COM14
[Info] Opened the serial port - COM14
---BEGIN---
TIME	INPUT	OUTPUT1	OUTPUT2	TS	GRADIENT
73971	1	72.50	22.12	534	0.00187
74507	1	73.50	22.12	536	0.00187
75041	1	74.25	22.12	534	0.00140
75577	1	75.25	22.12	536	0.00187
76112	1	76.00	22.12	535	0.00140
76647	1	77.00	22.12	535	0.00187
77182	1	77.75	22.12	535	0.00140
77717	1	78.75	22.12	535	0.00187
78253	1	79.50	22.19	536	0.00140
78788	1	80.50	22.19	535	0.00187
79323	1	81.50	22.12	535	0.00187
79858	1	82.50	22.12	535	0.00187
80394	1	83.00	22.19	536	0.00093
80928	1	84.25	22.19	534	0.00234
81464	1	85.00	22.19	536	0.00140
81998	1	86.00	22.19	534	0.00187
82534	1	87.00	22.19	536	0.00187
83069	1	87.75	22.25	535	0.00140
83604	1	88.25	22.19	535	0.00093
84140	1	89.00	22.25	536	0.00140
84674	1	90.00	22.25	534	0.00187
85210	1	91.50	22.25	536	0.00280
85745	1	92.50	22.25	535	0.00187
86280	1	93.25	22.25	535	0.00140
86815	1	94.00	22.25	535	0.00140
87350	1	95.00	22.25	535	0.00187
87885	1	96.00	22.25	535	0.00187
88421	1	96.75	22.31	536	0.00140
88955	1	98.00	22.31	534	0.00234
89491	1	98.50	22.31	536	0.00093
90027	1	99.75	22.31	536	0.00233
90561	1	100.50	22.31	534	0.00140
91097	1	101.50	22.31	536	0.00187
91632	1	102.50	22.31	535	0.00187
92167	1	103.50	22.31	535	0.00187
92702	1	104.50	22.31	535	0.00187
93238	1	105.00	22.31	536	0.00093
93772	1	105.50	22.31	534	0.00094
94308	1	107.25	22.31	536	0.00326
94843	1	108.25	22.31	535	0.00187
95379	1	109.00	22.31	536	0.00140
95913	1	110.00	22.31	534	0.00187
96449	1	111.00	22.31	536	0.00187
96985	1	111.50	22.31	536	0.00093
97519	1	112.50	22.37	534	0.00187
98055	1	113.75	22.37	536	0.00233
98590	1	114.75	22.37	535	0.00187
99126	1	115.75	22.37	536	0.00187
99660	1	116.75	22.37	534	0.00187
100196	1	117.00	22.37	536	0.00047
100731	1	118.25	22.37	535	0.00234
101267	1	119.25	22.37	536	0.00187
101801	1	120.25	22.37	534	0.00187
102337	1	121.25	22.37	536	0.00187
102873	1	122.25	22.37	536	0.00187
103408	1	123.25	22.37	535	0.00187
103943	1	124.25	22.44	535	0.00187
104478	1	125.00	22.44	535	0.00140
105014	1	126.25	22.44	536	0.00233
105549	1	127.00	22.44	535	0.00140
106084	1	128.00	22.44	535	0.00187
106619	1	128.75	22.44	535	0.00140
107155	1	129.50	22.44	536	0.00140
107689	1	130.50	22.44	534	0.00187
108225	1	131.75	22.44	536	0.00233
108761	1	132.50	22.50	536	0.00140
109296	1	133.50	22.50	535	0.00187
109831	1	134.50	22.44	535	0.00187
110366	1	135.50	22.50	535	0.00187
110902	1	136.00	22.50	536	0.00093
111437	1	137.50	22.50	535	0.00280
111972	1	138.00	22.50	535	0.00093
112507	1	139.00	22.56	535	0.00187
113043	1	140.00	22.50	536	0.00187
113579	1	141.00	22.56	536	0.00187
114113	1	141.75	22.56	534	0.00140
114649	1	142.75	22.56	536	0.00187
115184	1	143.75	22.62	535	0.00187
115720	1	144.75	22.56	536	0.00187
116255	1	145.75	22.62	535	0.00187
116790	1	146.50	22.56	535	0.00140
117325	1	147.25	22.62	535	0.00140
117861	1	148.25	22.62	536	0.00187
118396	1	149.00	22.69	535	0.00140
118931	1	149.75	22.62	535	0.00140
119467	1	151.00	22.62	536	0.00233
120002	1	151.00	22.69	535	0.00000
120538	1	152.75	22.69	536	0.00326
121072	1	153.75	22.69	534	0.00187
121608	1	154.75	22.75	536	0.00187
122143	1	155.50	22.69	535	0.00140
122679	1	156.25	22.75	536	0.00140
123213	1	157.50	22.75	534	0.00234
123749	1	158.25	22.75	536	0.00140
124284	1	159.00	22.75	535	0.00140
124820	1	160.00	22.75	536	0.00187
125355	1	160.75	22.75	535	0.00140
125890	1	161.25	22.75	535	0.00093
126426	1	162.75	22.75	536	0.00280
126961	1	163.50	22.81	535	0.00140
127496	1	164.50	22.81	535	0.00187
128031	1	165.25	22.81	535	0.00140
128567	1	166.25	22.81	536	0.00187
129102	1	167.00	22.81	535	0.00140
129637	1	168.00	22.81	535	0.00187
130172	1	168.75	22.87	535	0.00140
130708	1	169.75	22.87	536	0.00187
131244	1	170.50	22.87	536	0.00140
131779	1	171.50	22.87	535	0.00187
132314	1	172.25	22.87	535	0.00140
132849	1	173.25	22.94	535	0.00187
133385	1	174.00	22.94	536	0.00140
133920	1	174.75	22.94	535	0.00140
134455	1	175.50	23.00	535	0.00140
134990	1	176.50	23.00	535	0.00187
135526	1	177.75	23.00	536	0.00233

136061	1	178.25	23.06	535	0.00093
136597	1	179.25	23.06	536	0.00187
137132	1	180.25	23.06	535	0.00187
137667	1	181.00	23.06	535	0.00140
138203	1	181.75	23.12	536	0.00140
138738	1	182.50	23.19	535	0.00140
139273	1	183.75	23.19	535	0.00234
139808	1	184.50	23.25	535	0.00140
140344	1	185.00	23.31	536	0.00093
140879	1	186.00	23.25	535	0.00187
141415	1	186.75	23.31	536	0.00140
141949	1	187.50	23.37	534	0.00140
142485	1	188.50	23.44	536	0.00187
143021	1	189.25	23.44	536	0.00140
143556	1	190.00	23.50	535	0.00140
144091	1	191.00	23.50	535	0.00187
144626	1	191.50	23.56	535	0.00093
145162	1	192.25	23.56	536	0.00140
145697	1	193.75	23.56	535	0.00280
146232	1	194.00	23.62	535	0.00047
146767	1	195.00	23.62	535	0.00187
147303	1	196.00	23.69	536	0.00187
147838	1	196.75	23.69	535	0.00140
148374	1	197.50	23.69	536	0.00140
148909	1	198.50	23.75	535	0.00187
149444	1	199.25	23.75	535	0.00140
149980	1	200.00	23.75	536	0.00140
150515	1	200.75	23.81	535	0.00140
151050	1	201.25	23.81	535	0.00093
151585	1	202.50	23.87	535	0.00234
152121	1	203.00	23.87	536	0.00093
152656	1	204.00	23.94	535	0.00187
153191	1	205.25	23.94	535	0.00234
153726	1	206.00	24.00	535	0.00140
154262	1	206.50	24.06	536	0.00093
154798	1	207.25	24.00	536	0.00140
155333	1	208.50	24.06	535	0.00234
155868	1	209.00	24.06	535	0.00093
156403	1	209.25	24.06	535	0.00047
156939	1	210.50	24.06	536	0.00233
157474	1	211.25	24.12	535	0.00140
158009	1	211.75	24.12	535	0.00093
158544	1	213.00	24.12	535	0.00234
159080	1	214.00	24.12	536	0.00187
