36.00	376
36.50	374
35.75	377
36.50	374
36.50	374
36.50	374
36.25	375
36.00	376
36.75	373
36.50	374
36.25	375
35.75	377
36.25	375
36.25	375
36.50	374
36.50	374
36.75	373
36.25	375
36.25	375
36.50	374
36.50	374
36.25	375
36.75	373
36.50	374
36.50	374
36.75	373
36.50	374
36.50	374
36.75	373
37.00	372
36.50	374
36.75	373
36.75	373
37.00	372
37.25	371
37.00	372
37.00	372
37.00	372
36.25	375
36.75	373
37.00	372
37.25	371
37.50	370
37.25	371
37.25	371
37.25	371
37.50	370
37.75	369
37.75	369
37.50	370
38.00	368
37.75	369
37.50	370
37.50	370
38.00	368
37.75	369
37.75	369
38.00	368
37.75	369
38.00	368
38.25	366
38.25	366
38.50	365
38.75	364
38.25	366
38.25	366
38.25	366
38.75	364
39.00	363
38.75	364
39.00	363
39.00	363
39.00	363
39.00	363
39.25	362
39.00	363
39.25	362
39.50	361
39.75	360
39.75	360
39.75	360
39.50	361
39.75	360
40.25	358
39.75	360
39.75	360
40.25	358
40.25	358
40.25	358
40.50	357
40.50	357
40.50	357
40.75	356
40.25	358
40.75	356
41.25	354
41.25	354
41.25	354
41.00	355
41.25	354
41.00	355
41.25	354
41.75	352
41.25	353
41.75	352
41.75	351
41.75	351
42.00	350
41.75	351
42.25	349
42.50	348
42.75	347
43.00	346
42.50	348
42.50	348
42.75	347
43.00	346
43.00	346
43.00	346
43.75	343
43.50	344
43.75	343
43.75	343
44.00	342
44.25	341
43.75	343
44.50	340
44.25	341
44.50	340
44.50	340
44.50	340
44.50	340
44.75	339
45.00	337
44.75	338
45.50	335
45.50	335
45.75	334
45.75	334
45.75	334
45.75	334
46.00	333
46.00	333
46.00	333
46.75	330
46.50	331
46.25	332
46.50	331
46.75	330
47.00	329
47.00	329
47.25	328
47.75	326
47.50	327
47.75	326
47.75	326
48.00	325
48.00	324
48.25	323
48.25	323
48.50	322
48.75	321
48.50	322
49.00	320
48.75	321
49.00	320
49.00	320
49.50	318
49.50	318
49.75	317
49.75	317
50.00	316
50.00	316
50.25	315
50.25	315
50.50	314
50.50	314
50.75	313
50.50	314
51.00	312
51.25	311
51.50	310
50.50	313
51.75	309
51.75	308
52.25	306
52.00	307
52.25	306
52.00	307
52.50	305
53.00	303
52.50	305
53.00	303
52.75	304
53.25	302
53.25	302
53.50	301
53.50	301
53.50	301
54.25	298
54.25	298
54.50	297
54.50	297
54.50	297
54.75	296
55.00	294
55.50	292
55.25	293
55.00	294
55.00	294
55.25	293
55.75	291
55.75	291
56.00	290
56.50	288
56.50	288
56.75	287
56.75	287
56.75	287
56.75	287
57.00	286
57.50	284
57.75	283
57.75	283
57.75	283
57.75	283
58.25	281
57.75	282
58.75	279
58.50	279
58.75	278
58.50	279
59.25	276
59.50	275
59.50	275
59.75	274
59.75	274
59.75	274
60.25	272
60.50	271
60.50	271
60.50	271
60.25	272
60.75	270
61.25	268
60.50	271
61.50	267
61.25	267
61.50	267
61.75	265
62.00	264
62.25	263
62.25	263
62.50	262
62.75	261
63.00	260
63.50	258
63.00	260
63.25	259
62.50	262
