62.75	3.06	383	17.25	249.50
62.75	3.06	383	17.25	249.75
62.75	3.06	383	17.25	249.75
62.75	3.06	383	17.25	249.50
62.75	3.06	383	17.25	249.50
62.75	3.06	383	17.25	250.00
62.81	3.05	383	17.19	250.00
62.81	3.05	383	17.19	249.25
62.81	3.05	383	17.19	250.25
62.88	3.04	383	17.12	249.75
62.88	3.04	383	17.12	250.25
62.88	3.04	383	17.12	250.00
62.88	3.04	383	17.12	250.50
62.88	3.04	383	17.12	250.25
62.88	3.04	383	17.12	249.75
62.94	3.03	383	17.06	249.75
62.94	3.03	383	17.06	250.00
62.94	3.03	383	17.06	250.75
62.88	3.04	383	17.12	250.25
62.88	3.04	383	17.12	251.00
62.88	3.04	383	17.12	250.75
62.88	3.04	383	17.12	251.25
62.88	3.04	383	17.12	251.00
62.88	3.04	383	17.12	251.50
62.88	3.04	383	17.12	250.75
62.88	3.04	383	17.12	251.50
62.88	3.04	383	17.12	251.00
62.94	3.03	383	17.06	251.50
62.94	3.03	383	17.06	251.50
62.94	3.03	383	17.06	250.75
62.94	3.03	383	17.06	251.00
62.94	3.03	383	17.06	251.00
62.94	3.03	383	17.06	251.75
62.94	3.03	383	17.06	251.75
62.94	3.03	383	17.06	251.75
62.94	3.03	383	17.06	252.00
62.94	3.03	383	17.06	252.00
62.94	3.03	383	17.06	252.00
62.94	3.03	383	17.06	252.00
62.94	3.03	383	17.06	252.25
62.94	3.03	383	17.06	252.25
62.94	3.03	383	17.06	252.00
63.00	3.02	383	17.00	252.25
63.00	3.02	383	17.00	252.50
63.00	3.02	383	17.00	252.75
63.06	3.01	383	16.94	252.00
63.06	3.01	383	16.94	252.75
63.06	3.01	383	16.94	252.75
63.13	3.00	255	16.87	252.00
63.13	3.00	255	16.87	253.00
63.13	3.00	255	16.87	252.75
63.19	2.99	255	16.81	252.75
63.19	2.99	255	16.81	253.25
63.19	2.99	255	16.81	253.25
63.25	2.98	255	16.75	253.25
63.25	2.98	255	16.75	253.00
63.25	2.98	255	16.75	253.00
63.25	2.98	255	16.75	253.25
63.25	2.98	255	16.75	253.50
63.25	2.98	255	16.75	253.00
63.38	2.95	255	16.62	253.50
63.38	2.95	255	16.62	253.50
63.38	2.95	255	16.62	253.50
63.50	2.93	255	16.50	253.75
63.50	2.93	255	16.50	253.25
63.50	2.93	255	16.50	254.00
63.56	2.92	255	16.44	253.75
63.56	2.92	255	16.44	253.50
63.56	2.92	255	16.44	254.25
63.63	2.91	255	16.37	254.00
63.63	2.91	255	16.37	254.25
63.63	2.91	255	16.37	254.00
63.63	2.91	255	16.37	253.75
63.63	2.91	255	16.37	254.25
63.63	2.91	255	16.37	254.25
63.69	2.90	255	16.31	254.25
63.69	2.90	255	16.31	254.50
63.69	2.90	255	16.31	254.25
63.75	2.89	255	16.25	254.75
63.75	2.89	255	16.25	254.50
63.75	2.89	255	16.25	254.50
63.81	2.88	255	16.19	255.00
63.81	2.88	255	16.19	255.00
63.81	2.88	255	16.19	255.25
63.88	2.87	255	16.12	255.25
63.88	2.87	255	16.12	255.25
63.88	2.87	255	16.12	255.00
63.94	2.86	255	16.06	255.00
63.94	2.86	255	16.06	255.25
63.94	2.86	255	16.06	255.25
63.94	2.86	255	16.06	255.25
63.94	2.86	255	16.06	255.50
63.94	2.86	255	16.06	255.00
63.94	2.86	255	16.06	255.50
63.94	2.86	255	16.06	255.50
